frame,duck_id,x_world,y_world
164,6,3.3219,1.1187
165,0,3.2954,1.4062
165,1,2.7382,1.3000
165,2,3.0566,1.7937
165,3,1.1887,1.7188
165,4,1.6928,1.7812
165,5,1.4328,1.8312
165,6,3.3219,1.1313
166,0,1.4646,1.8312
166,1,3.3166,1.1500
166,2,2.7594,1.3125
166,3,3.0460,1.8125
166,4,3.3007,1.4187
166,5,1.1993,1.7375
166,6,1.7353,1.7875
167,0,1.4912,1.8437
167,1,3.0354,1.8312
167,2,2.7807,1.3250
167,3,1.7671,1.7937
167,4,1.2046,1.7500
167,5,3.3166,1.1750
167,6,3.3060,1.4375
168,0,3.0301,1.8312
168,1,1.8202,1.8062
168,2,1.2152,1.7688
168,3,3.3485,1.4563
168,4,2.7966,1.3250
168,5,3.3219,1.1875
168,6,1.5283,1.8625
169,0,1.8732,1.8062
169,1,2.8072,1.3312
169,2,3.0195,1.8312
169,3,3.3644,1.4688
169,4,3.3219,1.1938
169,5,1.5601,1.8563
169,6,1.2258,1.7750
170,0,1.9104,1.8125
170,1,3.3219,1.1938
170,2,3.0088,1.8312
170,3,2.8072,1.3375
170,4,1.5814,1.8563
170,5,3.3803,1.4750
170,6,1.2152,1.7875
171,0,1.9369,1.8250
171,1,2.9929,1.8375
171,2,3.3909,1.4875
171,3,3.3113,1.2000
171,4,1.2099,1.8000
171,5,2.8125,1.3500
171,6,1.6132,1.8563
172,0,3.3007,1.2063
172,1,1.9688,1.8312
172,2,1.6344,1.8375
172,3,3.3962,1.4813
172,4,2.9770,1.8375
172,5,2.8178,1.3562
172,6,1.2205,1.7937
173,0,1.6610,1.8437
173,1,2.8178,1.3562
173,2,3.2901,1.2125
173,3,1.9953,1.8250
173,4,3.4068,1.4813
173,5,2.9558,1.8375
173,6,1.2099,1.7875
174,0,2.0218,1.8250
174,1,2.9399,1.8375
174,2,2.8178,1.3625
174,3,1.6928,1.8563
174,4,1.2099,1.7812
174,5,3.2848,1.2250
174,6,3.4068,1.4875
175,0,2.8231,1.3500
175,1,2.9292,1.8437
175,2,2.0430,1.8250
175,3,3.2901,1.2188
175,4,3.4068,1.4875
175,5,1.2205,1.7875
175,6,1.7300,1.8500
176,0,2.0802,1.8000
176,1,3.4121,1.4813
176,2,3.2954,1.2063
176,3,2.8443,1.3375
176,4,1.7777,1.8563
176,5,2.9239,1.8375
176,6,1.2524,1.8062
176,7,1.0560,1.6750
177,0,1.8308,1.8312
177,1,2.8443,1.3312
177,2,2.9186,1.8312
177,3,3.2954,1.1938
177,4,3.4068,1.4688
177,5,1.2736,1.8125
177,6,2.1120,1.7937
178,0,1.8785,1.8250
178,1,2.1492,1.7750
178,2,2.8496,1.3375
178,3,2.9080,1.8125
178,4,3.4175,1.4563
178,5,1.2789,1.8062
178,6,3.2901,1.1813
179,0,1.9263,1.8312
179,1,2.8443,1.3312
179,2,2.9027,1.8062
179,3,2.1810,1.7688
179,4,3.2848,1.1750
179,5,3.4175,1.4375
179,6,1.3001,1.8000
180,0,3.4334,1.4250
180,1,1.9688,1.8250
180,2,3.2689,1.1625
180,3,1.3213,1.7875
180,4,2.8496,1.3312
180,5,2.8974,1.7937
180,6,2.2075,1.7688
181,0,3.4334,1.4187
181,1,3.2476,1.1562
181,2,2.0059,1.8312
181,3,1.3426,1.8000
181,4,2.8921,1.7812
181,5,2.8390,1.3312
181,6,2.2341,1.7500
182,0,3.4334,1.4250
182,1,2.0483,1.8312
182,2,3.2264,1.1687
182,3,2.2659,1.7250
182,4,2.8815,1.7688
182,5,2.8337,1.3312
182,6,1.3638,1.8062
183,0,3.4387,1.4250
183,1,3.2105,1.1750
183,2,2.8390,1.3312
183,3,2.8656,1.7750
183,4,1.3850,1.8187
183,5,2.0961,1.8187
184,0,3.4440,1.4312
184,1,2.8390,1.3312
184,2,3.1999,1.1750
184,3,1.4169,1.8250
184,4,2.8656,1.7625
184,5,2.1333,1.8312
185,0,3.4493,1.4375
185,1,1.4381,1.8187
185,2,2.8284,1.3375
185,3,3.1840,1.1687
185,4,2.3243,1.7000
185,5,2.8656,1.7500
186,0,3.4493,1.4250
186,1,2.8231,1.3562
186,2,3.1627,1.1750
186,3,1.4699,1.8187
186,4,2.8550,1.7438
187,0,2.8125,1.3625
187,1,3.4387,1.4250
187,2,3.1521,1.1875
187,3,1.4965,1.8187
187,4,2.8390,1.7438
187,5,2.2765,1.8375
187,6,2.3561,1.6625
188,0,3.1468,1.2000
188,1,1.5442,1.8312
188,2,3.4228,1.4312
188,3,2.7966,1.3688
188,4,2.8337,1.7375
188,5,2.3190,1.8375
189,0,3.1362,1.2000
189,1,3.4121,1.4375
189,2,1.5920,1.8312
189,3,2.8337,1.7250
189,4,2.7860,1.3875
190,0,3.4121,1.4437
190,1,3.1256,1.2188
190,2,1.6397,1.8437
190,3,2.7807,1.3875
190,4,2.8284,1.7188
191,0,3.1150,1.2312
191,1,3.4121,1.4625
191,2,2.8284,1.7188
191,3,2.7700,1.3813
191,4,1.6875,1.8187
192,0,3.4175,1.4688
192,1,3.0991,1.2500
192,2,1.7300,1.8312
192,3,2.8284,1.7188
192,4,2.7594,1.3875
193,0,3.0831,1.2750
193,1,3.4175,1.4688
193,2,2.8284,1.7188
193,3,2.7488,1.4000
193,4,1.7777,1.8375
194,0,3.0672,1.2938
194,1,3.4228,1.4625
194,2,2.8337,1.7125
194,3,1.8308,1.8312
194,4,2.7488,1.4125
195,0,3.4281,1.4688
195,1,3.0566,1.3125
195,2,2.8231,1.7125
195,3,1.8732,1.8312
195,4,2.7382,1.4250
196,0,3.4281,1.4813
196,1,3.0407,1.3125
196,2,2.8231,1.7125
196,3,1.9104,1.8062
196,4,2.7170,1.4312
197,0,2.7064,1.4437
197,1,3.4281,1.4937
197,2,2.8231,1.7125
197,3,1.9634,1.8062
197,4,3.0195,1.3188
198,0,2.7064,1.4437
198,1,2.8337,1.6938
198,2,3.4387,1.5250
198,3,3.0035,1.3250
198,4,2.0059,1.8000
199,0,2.9876,1.3312
199,1,2.6958,1.4437
199,2,3.4387,1.5313
199,3,2.8337,1.6938
199,4,2.0643,1.7875
200,0,2.6798,1.4437
