frame,duck_id,x_world,y_world
184,0,2.8337,1.3375
184,1,1.4116,1.8312
184,2,3.1999,1.1687
184,3,2.8550,1.7688
184,4,3.4493,1.4625
184,5,2.1386,1.8062
184,6,2.1226,1.8062
184,7,2.2925,1.7250
185,0,3.1840,1.1750
185,1,1.4275,1.8312
185,2,2.8178,1.3438
185,3,2.8603,1.7625
185,4,3.4334,1.4563
185,5,2.3296,1.7125
185,6,2.1916,1.7875
185,7,2.1810,1.8187
186,0,1.4646,1.8187
186,1,3.1627,1.1750
186,2,2.8550,1.7500
186,3,2.8178,1.3438
186,4,3.4334,1.4563
186,5,2.3084,1.7625
186,6,2.3243,1.7188
187,0,3.1521,1.1938
187,1,2.8125,1.3500
187,2,2.8390,1.7438
187,3,1.4965,1.8375
187,4,3.4228,1.4500
187,5,2.3561,1.6938
187,6,2.3402,1.7375
188,0,1.5389,1.8500
188,1,3.1415,1.1938
188,2,2.7860,1.3750
188,3,2.8284,1.7438
188,4,2.3508,1.7563
188,5,3.4175,1.4500
188,6,1.5601,1.8500
189,0,1.5973,1.8563
189,1,3.1362,1.2000
189,2,2.3827,1.7688
189,3,2.7754,1.3875
189,4,3.4121,1.4563
189,5,2.8284,1.7313
190,0,1.6291,1.8500
190,1,2.3933,1.7688
190,2,3.1150,1.2188
190,3,3.4121,1.4625
190,4,2.7807,1.3875
190,5,2.8231,1.7250
190,6,2.7913,1.4062
190,7,1.6397,1.8750
191,0,3.1044,1.2312
191,1,3.4121,1.4688
191,2,1.6822,1.8375
191,3,2.7700,1.4000
191,4,2.4251,1.7688
191,5,2.8231,1.7250
191,6,2.7966,1.4187
192,0,3.0938,1.2500
192,1,1.7300,1.8500
192,2,3.4015,1.4750
192,3,2.7594,1.4000
192,4,2.8178,1.7250
192,5,2.4410,1.7625
192,6,2.7807,1.4250
193,0,2.7382,1.4062
193,1,3.4175,1.4750
193,2,1.7777,1.8625
193,3,3.0831,1.2812
193,4,2.4676,1.7438
193,5,2.7647,1.4187
193,6,2.8231,1.7313
193,7,2.5100,1.7937
194,0,3.4121,1.4688
194,1,1.8308,1.8563
194,2,3.0619,1.3000
194,3,2.7329,1.4125
194,4,2.4463,1.7188
194,5,2.8284,1.7188
194,6,2.4145,1.6750
195,0,1.8785,1.8437
195,1,3.4015,1.4750
195,2,3.0460,1.3125
195,3,2.7223,1.4250
195,4,2.4517,1.7062
195,5,2.8284,1.7125
195,6,2.4039,1.6750
195,7,2.5525,1.7625
195,8,2.5100,1.7313
196,0,3.0407,1.3125
196,1,1.9104,1.8125
196,2,3.4068,1.4875
196,3,2.4570,1.6938
196,4,2.7064,1.4250
196,5,2.8231,1.7188
196,6,2.4092,1.6812
196,7,2.5100,1.7188
197,0,2.7064,1.4375
197,1,3.0142,1.3188
197,2,1.9528,1.8125
